combo_id,dataset,method,dataset_seed,method_seed,segmenter.duration_weight,segmenter.sticky,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError
0,S3ObAvoid,arhsmm,125949,0,0.3,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
0,S3ObAvoid,arhsmm,125949,1,0.3,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
0,S3ObAvoid,arhsmm,125949,2,0.3,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
0,S3ObAvoid,arhsmm,125949,3,0.3,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
0,S3ObAvoid,arhsmm,125949,4,0.3,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
0,S3ObAvoid,arhsmm,125949,5,0.3,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
0,S3ObAvoid,arhsmm,125949,6,0.3,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
0,S3ObAvoid,arhsmm,125949,7,0.3,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
0,S3ObAvoid,arhsmm,125949,8,0.3,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
0,S3ObAvoid,arhsmm,125949,9,0.3,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
1,S3ObAvoid,arhsmm,125949,0,1.0,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
1,S3ObAvoid,arhsmm,125949,1,1.0,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
1,S3ObAvoid,arhsmm,125949,2,1.0,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
1,S3ObAvoid,arhsmm,125949,3,1.0,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
1,S3ObAvoid,arhsmm,125949,4,1.0,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
1,S3ObAvoid,arhsmm,125949,5,1.0,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
1,S3ObAvoid,arhsmm,125949,6,1.0,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
1,S3ObAvoid,arhsmm,125949,7,1.0,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
1,S3ObAvoid,arhsmm,125949,8,1.0,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
1,S3ObAvoid,arhsmm,125949,9,1.0,2.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
2,S3ObAvoid,arhsmm,125949,0,3.0,2.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
2,S3ObAvoid,arhsmm,125949,1,3.0,2.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
2,S3ObAvoid,arhsmm,125949,2,3.0,2.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
2,S3ObAvoid,arhsmm,125949,3,3.0,2.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
2,S3ObAvoid,arhsmm,125949,4,3.0,2.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
2,S3ObAvoid,arhsmm,125949,5,3.0,2.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
2,S3ObAvoid,arhsmm,125949,6,3.0,2.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
2,S3ObAvoid,arhsmm,125949,7,3.0,2.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
2,S3ObAvoid,arhsmm,125949,8,3.0,2.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
2,S3ObAvoid,arhsmm,125949,9,3.0,2.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
3,S3ObAvoid,arhsmm,125949,0,0.3,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
3,S3ObAvoid,arhsmm,125949,1,0.3,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
3,S3ObAvoid,arhsmm,125949,2,0.3,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
3,S3ObAvoid,arhsmm,125949,3,0.3,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
3,S3ObAvoid,arhsmm,125949,4,0.3,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
3,S3ObAvoid,arhsmm,125949,5,0.3,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
3,S3ObAvoid,arhsmm,125949,6,0.3,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
3,S3ObAvoid,arhsmm,125949,7,0.3,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
3,S3ObAvoid,arhsmm,125949,8,0.3,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
3,S3ObAvoid,arhsmm,125949,9,0.3,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
4,S3ObAvoid,arhsmm,125949,0,1.0,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
4,S3ObAvoid,arhsmm,125949,1,1.0,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
4,S3ObAvoid,arhsmm,125949,2,1.0,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
4,S3ObAvoid,arhsmm,125949,3,1.0,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
4,S3ObAvoid,arhsmm,125949,4,1.0,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
4,S3ObAvoid,arhsmm,125949,5,1.0,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
4,S3ObAvoid,arhsmm,125949,6,1.0,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
4,S3ObAvoid,arhsmm,125949,7,1.0,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
4,S3ObAvoid,arhsmm,125949,8,1.0,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
4,S3ObAvoid,arhsmm,125949,9,1.0,5.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
5,S3ObAvoid,arhsmm,125949,0,3.0,5.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
5,S3ObAvoid,arhsmm,125949,1,3.0,5.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
5,S3ObAvoid,arhsmm,125949,2,3.0,5.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
5,S3ObAvoid,arhsmm,125949,3,3.0,5.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
5,S3ObAvoid,arhsmm,125949,4,3.0,5.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
5,S3ObAvoid,arhsmm,125949,5,3.0,5.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
5,S3ObAvoid,arhsmm,125949,6,3.0,5.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
5,S3ObAvoid,arhsmm,125949,7,3.0,5.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
5,S3ObAvoid,arhsmm,125949,8,3.0,5.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
5,S3ObAvoid,arhsmm,125949,9,3.0,5.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
6,S3ObAvoid,arhsmm,125949,0,0.3,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
6,S3ObAvoid,arhsmm,125949,1,0.3,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
6,S3ObAvoid,arhsmm,125949,2,0.3,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
6,S3ObAvoid,arhsmm,125949,3,0.3,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
6,S3ObAvoid,arhsmm,125949,4,0.3,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
6,S3ObAvoid,arhsmm,125949,5,0.3,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
6,S3ObAvoid,arhsmm,125949,6,0.3,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
6,S3ObAvoid,arhsmm,125949,7,0.3,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
6,S3ObAvoid,arhsmm,125949,8,0.3,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
6,S3ObAvoid,arhsmm,125949,9,0.3,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
7,S3ObAvoid,arhsmm,125949,0,1.0,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
7,S3ObAvoid,arhsmm,125949,1,1.0,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
7,S3ObAvoid,arhsmm,125949,2,1.0,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
7,S3ObAvoid,arhsmm,125949,3,1.0,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
7,S3ObAvoid,arhsmm,125949,4,1.0,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
7,S3ObAvoid,arhsmm,125949,5,1.0,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
7,S3ObAvoid,arhsmm,125949,6,1.0,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
7,S3ObAvoid,arhsmm,125949,7,1.0,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
7,S3ObAvoid,arhsmm,125949,8,1.0,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
7,S3ObAvoid,arhsmm,125949,9,1.0,10.0,13.65,0.010146009577528776,0.004357221667201892,0.1950725857220073
8,S3ObAvoid,arhsmm,125949,0,3.0,10.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
8,S3ObAvoid,arhsmm,125949,1,3.0,10.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
8,S3ObAvoid,arhsmm,125949,2,3.0,10.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
8,S3ObAvoid,arhsmm,125949,3,3.0,10.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
8,S3ObAvoid,arhsmm,125949,4,3.0,10.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
8,S3ObAvoid,arhsmm,125949,5,3.0,10.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
8,S3ObAvoid,arhsmm,125949,6,3.0,10.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
8,S3ObAvoid,arhsmm,125949,7,3.0,10.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
8,S3ObAvoid,arhsmm,125949,8,3.0,10.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
8,S3ObAvoid,arhsmm,125949,9,3.0,10.0,13.6,0.010146009577528776,0.004357221667201892,0.19507285199862812
